,Open,High,Low,Close,Volume
2025-07-17 13:30:00,558.02001953125,562.3099975585938,557.2100219726562,561.7999877929688,40423800
2025-07-18 13:30:00,563.1199951171875,564.72998046875,559.97998046875,561.260009765625,50484700
2025-07-21 13:30:00,562.0900268554688,566.0599975585938,562.0599975585938,564.1699829101562,39595200
2025-07-22 13:30:00,564.2999877929688,564.3499755859375,558.6099853515625,561.25,43270600
2025-07-23 13:30:00,562.3400268554688,563.8499755859375,559.5800170898438,563.8099975585938,40215300
2025-07-24 13:30:00,565.1300048828125,566.239990234375,563.2899780273438,565.010009765625,42275500
2025-07-25 13:30:00,564.9299926757812,567.7000122070312,564.27001953125,566.3699951171875,30630800
2025-07-28 13:30:00,567.739990234375,569.0399780273438,566.8699951171875,568.1400146484375,31498700
2025-07-29 13:30:00,570.760009765625,572.1099853515625,566.530029296875,567.260009765625,45463300
2025-07-30 13:30:00,568.1799926757812,570.6199951171875,565.0499877929688,568.02001953125,43433800
2025-07-31 13:30:00,574.5399780273438,574.6300048828125,563.8699951171875,565.010009765625,64613600
2025-08-01 13:30:00,558.8300170898438,559.02001953125,551.6799926757812,553.8800048828125,69400800
2025-08-04 13:30:00,559.0499877929688,564.3200073242188,558.9500122070312,564.0999755859375,47669800
2025-08-05 13:30:00,565.3900146484375,566.5599975585938,559.72998046875,560.27001953125,48666600
2025-08-06 13:30:00,561.1099853515625,567.760009765625,560.6300048828125,567.3200073242188,41823700
2025-08-07 13:30:00,571.6699829101562,573.3200073242188,565.1099853515625,569.239990234375,44463000
2025-08-08 13:30:00,570.4500122070312,574.77001953125,570.1500244140625,574.5499877929688,35255500
2025-08-11 13:30:00,574.6900024414062,576.7999877929688,571.5700073242188,572.8499755859375,33112900
2025-08-12 13:30:00,575.1599731445312,580.3499755859375,572.489990234375,580.0499877929688,42143300
2025-08-13 13:30:00,582.760009765625,583.3200073242188,578.9400024414062,580.3400268554688,41209300
2025-08-14 13:30:00,578.280029296875,581.8800048828125,577.9099731445312,579.8900146484375,45425000
2025-08-15 13:30:00,579.7999877929688,579.8400268554688,575.5700073242188,577.3400268554688,49480200
2025-08-18 13:30:00,576.4400024414062,577.77001953125,575.239990234375,577.1099853515625,29831000
2025-08-19 13:30:00,576.3900146484375,576.5599975585938,568.25,569.280029296875,53752600
2025-08-20 13:30:00,568.3300170898438,568.4500122070312,558.8400268554688,565.9000244140625,76781100
2025-08-21 13:30:00,564.3499755859375,566.489990234375,560.97998046875,563.280029296875,46436900
2025-08-22 13:30:00,564.6699829101562,573.989990234375,563.27001953125,571.969970703125,51502100
2025-08-25 13:30:00,570.4000244140625,573.2899780273438,569.1599731445312,570.3200073242188,34044700
2025-08-26 13:30:00,569.8300170898438,572.9199829101562,568.7999877929688,572.6099853515625,34103000
2025-08-27 13:30:00,571.5900268554688,574.4099731445312,570.3699951171875,573.489990234375,36927100
2025-08-28 13:30:00,574.1099853515625,578.0,572.4600219726562,577.0800170898438,46787900
2025-08-29 13:30:00,574.6599731445312,575.030029296875,568.5399780273438,570.4000244140625,56030400
2025-09-02 13:30:00,561.3099975585938,565.969970703125,559.5399780273438,565.6199951171875,65876800
2025-09-03 13:30:00,569.22998046875,571.7000122070312,566.72998046875,570.0700073242188,54230200
