,Open,High,Low,Close,Volume
2025-07-17 13:30:00,442.04998779296875,445.6099853515625,441.9800109863281,445.2200012207031,3790800
2025-07-18 13:30:00,445.7300109863281,445.7799987792969,442.1199951171875,443.260009765625,3901900
2025-07-21 13:30:00,444.20001220703125,446.010009765625,443.1400146484375,443.44000244140625,2548800
2025-07-22 13:30:00,442.8599853515625,445.45001220703125,442.8399963378906,444.9599914550781,3091600
2025-07-23 13:30:00,447.25,450.25,446.3500061035156,450.2099914550781,5486500
2025-07-24 13:30:00,447.010009765625,449.1300048828125,446.75,447.1099853515625,5078300
2025-07-25 13:30:00,447.5299987792969,449.4100036621094,446.4100036621094,449.0199890136719,3710600
2025-07-28 13:30:00,448.6600036621094,449.4800109863281,447.3800048828125,448.3399963378906,2864200
2025-07-29 13:30:00,448.6300048828125,448.8500061035156,445.6499938964844,446.4800109863281,3146200
2025-07-30 13:30:00,446.7099914550781,447.3800048828125,442.6099853515625,444.760009765625,3765000
2025-07-31 13:30:00,445.2699890136719,446.20001220703125,440.5,441.3299865722656,4223300
2025-08-01 13:30:00,437.75,437.760009765625,433.3999938964844,435.7200012207031,5980000
2025-08-04 13:30:00,437.8800048828125,441.8999938964844,437.5899963378906,441.80999755859375,5065800
2025-08-05 13:30:00,441.79998779296875,443.0,439.2099914550781,441.1400146484375,4081600
2025-08-06 13:30:00,442.1099853515625,442.95001220703125,440.1300048828125,441.9700012207031,2975300
2025-08-07 13:30:00,444.2699890136719,445.010009765625,437.9800109863281,439.7200012207031,5205100
2025-08-08 13:30:00,440.80999755859375,442.8800048828125,440.30999755859375,441.9200134277344,3684500
2025-08-11 13:30:00,442.3299865722656,442.8699951171875,439.2300109863281,440.010009765625,3538100
2025-08-12 13:30:00,441.69000244140625,445.1499938964844,441.1400146484375,444.67999267578125,5012600
2025-08-13 13:30:00,446.44000244140625,449.6499938964844,446.04998779296875,449.4200134277344,6203200
2025-08-14 13:30:00,447.739990234375,449.6400146484375,446.9800109863281,449.1600036621094,4553200
2025-08-15 13:30:00,451.8999938964844,452.04998779296875,448.9700012207031,449.5299987792969,5584400
2025-08-18 13:30:00,449.3500061035156,449.9700012207031,448.6300048828125,449.04998779296875,3809100
2025-08-19 13:30:00,449.8500061035156,452.1499938964844,448.2099914550781,449.2900085449219,5794900
2025-08-20 13:30:00,449.7900085449219,450.5199890136719,447.6700134277344,449.3599853515625,4731400
2025-08-21 13:30:00,447.7200012207031,449.07000732421875,445.8800048828125,447.95001220703125,3780700
2025-08-22 13:30:00,450.4200134277344,457.8699951171875,450.2900085449219,456.6400146484375,8534700
2025-08-25 13:30:00,455.6400146484375,456.19000244140625,453.0299987792969,453.07000732421875,3898200
2025-08-26 13:30:00,452.7900085449219,454.75,452.5400085449219,454.489990234375,3190500
2025-08-27 13:30:00,454.2799987792969,456.6400146484375,454.2099914550781,456.0299987792969,2943900
2025-08-28 13:30:00,456.5299987792969,457.20001220703125,454.7900085449219,456.7900085449219,3576500
2025-08-29 13:30:00,456.1199951171875,456.8399963378906,454.2799987792969,456.0899963378906,3605900
2025-09-02 13:30:00,451.989990234375,453.70001220703125,450.1600036621094,453.6099853515625,6009200
2025-09-03 13:30:00,452.8800048828125,453.739990234375,450.5299987792969,453.260009765625,3948200
2025-09-04 13:30:00,453.54998779296875,457.260009765625,452.55999755859375,457.04998779296875,4524200
2025-09-05 13:30:00,457.1199951171875,458.6700134277344,452.9800109863281,454.989990234375,5828200
2025-09-08 13:30:00,455.3800048828125,456.2900085449219,453.6300048828125,456.20001220703125,4395200
2025-09-09 13:30:00,455.9599914550781,458.54998779296875,455.2200012207031,458.010009765625,5979400
2025-09-10 13:30:00,457.7099914550781,457.8999938964844,454.7099914550781,455.92999267578125,5412200
2025-09-11 13:30:00,456.8500061035156,462.32000732421875,456.6000061035156,461.9200134277344,6352100
2025-09-12 13:30:00,461.25,461.69000244140625,459.07000732421875,459.32000732421875,3784600
2025-09-15 13:30:00,460.010009765625,460.9100036621094,458.8299865722656,460.07000732421875,4862200
2025-09-16 13:30:00,460.1099853515625,460.79998779296875,457.7799987792969,458.7799987792969,4526100
2025-09-17 13:30:00,459.7900085449219,463.8500061035156,457.9599914550781,461.260009765625,5998000
2025-09-18 13:30:00,461.2900085449219,464.3699951171875,460.6600036621094,462.6300048828125,6681000
2025-09-19 13:30:00,462.7200012207031,463.7799987792969,460.8699951171875,462.94000244140625,5871400
2025-09-22 13:30:00,461.1600036621094,464.2900085449219,460.1600036621094,463.6700134277344,4074900
2025-09-23 13:30:00,464.2200012207031,467.0,462.0299987792969,462.8699951171875,5904600
